sweep_name,economic_split,pool_committed_split,pool_ideology_strength,pool_max_loss_pct,outcome,total_reorgs,reorg_mass,cascade_time_s,econ_lag_s,duration,scenario_id,contentiousness,sp_pools,sp_economic,z_joint,surprise
econ_committed_2016_grid,0.6,0.3,0.51,0.26,v26_dominant,3,21,,,13000,sweep_0019,0.02075449101796407,0.094660434937362,0.1503561274728323,0.26491137779979806,0.17018453552384646
econ_committed_2016_grid,0.6,0.52,0.51,0.26,v26_dominant,3,18,,,13000,sweep_0023,0.02064670658682635,0.026957480700894466,0.033284793010193395,0.08003376922850096,0.048020261537100574
econ_committed_2016_grid,0.7,0.2,0.51,0.26,v26_dominant,8,106,,,13000,sweep_0027,0.05714171656686627,0.02310641202933814,0.122044241037376,0.19992549197550205,0.0206589675041352
lhs_2016_6param,0.7393,0.1778,0.3698,0.1122,v26_dominant,8,1126,,,13000,sweep_0000,0.09378842315369262,0.05391496140178899,0.046462797309479185,0.1902813541648844,0.03171355902748073
lhs_2016_6param,0.6241,0.1882,0.7641,0.1453,v26_dominant,8,1116,,,13000,sweep_0005,0.09342914171656687,0.019605440509741452,0.03097982109423757,0.14014445748362636,0.006072926490957142
lhs_2016_6param,0.6359,0.1692,0.6247,0.2505,v26_dominant,8,330,,,13000,sweep_0010,0.06518962075848304,0.4509251317240533,0.015078011233617631,0.5284925323233624,0.03875611903704659
lhs_2016_6param,0.3902,0.2059,0.4782,0.2537,v26_dominant,4,60,,,13000,sweep_0013,0.028822355289421158,0.0,0.0,0.02762849915617218,9.209499718723966e-05
lhs_2016_6param,0.7456,0.3628,0.7752,0.3137,v26_dominant,3,129,,,13000,sweep_0015,0.024634730538922157,0.06147122493158515,0.04746411483253585,0.13254967055258893,0.08070802162535415
lhs_2016_6param,0.6221,0.2432,0.7124,0.2368,v26_dominant,8,732,,,13000,sweep_0017,0.07963273453093812,0.22791324592574466,0.023707093821510296,0.32795459198649635,0.01202500170617152
lhs_2016_6param,0.6724,0.1971,0.4279,0.3199,v26_dominant,8,610,,,13000,sweep_0019,0.075249500998004,0.009802720254870723,0.004781915262464452,0.0867172129541559,0.005781147530277059
lhs_2016_6param,0.3795,0.1959,0.6111,0.2579,v26_dominant,8,406,,,13000,sweep_0021,0.06792015968063872,0.0,0.0,0.06510682612785505,0.0002170227537595146
lhs_2016_6param,0.5955,0.2133,0.5252,0.31,v26_dominant,8,1050,,,13000,sweep_0029,0.09105788423153693,0.03430952089204754,0.0874141876430206,0.2090098672265207,0.01672078937812165
lhs_2016_6param,0.561,0.1579,0.3157,0.1014,v26_dominant,8,1010,,,13000,sweep_0036,0.08962075848303394,0.3283911285381693,0.03722349351639974,0.451523182450146,0.17007373205622167
lhs_2016_6param,0.3876,0.2039,0.4747,0.159,v26_dominant,8,972,,,13000,sweep_0047,0.0882554890219561,0.0024506800637176768,0.0,0.08705052207821279,0.006093536545474901
lhs_2016_6param,0.566,0.1843,0.7347,0.2712,v26_dominant,8,960,,,13000,sweep_0049,0.08782435129740519,0.0,0.018306636155606393,0.1024931986813388,0.001366575982417848
lhs_2016_6param,0.4867,0.2409,0.5163,0.3982,v26_dominant,8,718,,,13000,sweep_0059,0.07912974051896207,0.05881632152922435,0.0,0.13466841436490923,0.002244473572748494
lhs_2016_6param,0.4678,0.2315,0.5056,0.2617,v26_dominant,8,1000,,,13000,sweep_0063,0.08926147704590819,0.009802720254870724,0.0,0.09536688107647875,0.0
lhs_2016_6param,0.4206,0.1664,0.49,0.3015,v26_dominant,8,898,,,13000,sweep_0065,0.08559680638722555,0.3406445288567577,0.0,0.4226958140238829,0.007044930233731404
lhs_2016_6param,0.3722,0.2141,0.5844,0.382,v26_dominant,8,1128,,,13000,sweep_0071,0.09386027944111777,0.0,0.0,0.08997247536841002,0.0
